Fecha,Precio
24/4/2020,"18,82"
23/4/2020,"17,75"
22/4/2020,"9,99"
21/4/2020,"9,24"
20/4/2020,"11,12"
19/4/2020,"13,30"
18/4/2020,"21,28"
17/4/2020,"14,54"
16/4/2020,"12,73"
15/4/2020,"16,61"
14/4/2020,"21,95"
13/4/2020,"22,26"
12/4/2020,"17,82"
11/4/2020,"22,02"
10/4/2020,"19,07"
9/4/2020,"22,32"
8/4/2020,"23,62"
7/4/2020,"22,45"
6/4/2020,"24,83"
5/4/2020,"8,16"
4/4/2020,"16,24"
3/4/2020,"23,73"
2/4/2020,"23,90"
1/4/2020,"26,20"
31/3/2020,"20,55"
30/3/2020,"19,05"
29/3/2020,"19,37"
28/3/2020,"27,94"
27/3/2020,"25,07"
26/3/2020,"22,82"
25/3/2020,"31,59"
24/3/2020,"27,41"
23/3/2020,"29,04"
22/3/2020,"27,53"
21/3/2020,"27,65"
20/3/2020,"28,08"
19/3/2020,"30,43"
18/3/2020,"30,69"
17/3/2020,"28,43"
16/3/2020,"27,02"
15/3/2020,"26,80"
14/3/2020,"35,59"
13/3/2020,"33,99"
12/3/2020,"38,78"
11/3/2020,"38,63"
10/3/2020,"34,54"
9/3/2020,"32,52"
8/3/2020,"26,88"
7/3/2020,"27,73"
6/3/2020,"21,43"
5/3/2020,"25,15"
4/3/2020,"32,60"
3/3/2020,"26,14"
2/3/2020,"21,89"
1/3/2020,"14,22"
29/2/2020,"16,60"
28/2/2020,"33,92"
27/2/2020,"30,62"
26/2/2020,"31,97"
25/2/2020,"32,78"
24/2/2020,"41,62"
23/2/2020,"36,48"
22/2/2020,"39,72"
21/2/2020,"39,29"
20/2/2020,"42,53"
19/2/2020,"42,76"
18/2/2020,"38,23"
17/2/2020,"35,96"
16/2/2020,"24,48"
15/2/2020,"35,17"
14/2/2020,"41,74"
13/2/2020,"38,23"
12/2/2020,"44,28"
11/2/2020,"41,99"
10/2/2020,"31,81"
9/2/2020,"30,08"
8/2/2020,"39,05"
7/2/2020,"39,87"
6/2/2020,"38,64"
5/2/2020,"36,82"
4/2/2020,"37,82"
3/2/2020,"40,66"
2/2/2020,"27,85"
1/2/2020,"29,23"
31/1/2020,"37,23"
30/1/2020,"37,95"
29/1/2020,"39,77"
28/1/2020,"38,47"
27/1/2020,"39,34"
26/1/2020,"40,01"
25/1/2020,"48,18"
24/1/2020,"53,71"
23/1/2020,"53,95"
22/1/2020,"47,27"
21/1/2020,"39,10"
20/1/2020,"35,71"
19/1/2020,"29,76"
18/1/2020,"38,30"
17/1/2020,"39,40"
16/1/2020,"38,53"
15/1/2020,"38,45"
14/1/2020,"38,68"
13/1/2020,"46,49"
12/1/2020,"42,36"
11/1/2020,"41,84"
10/1/2020,"40,57"
9/1/2020,"44,21"
8/1/2020,"46,81"
7/1/2020,"47,01"
6/1/2020,"42,17"
5/1/2020,"38,18"
4/1/2020,"35,67"
3/1/2020,"39,51"
2/1/2020,"40,00"
1/1/2020,"35,54"
31/12/2019,"38,28"
30/12/2019,"36,73"
29/12/2019,"31,79"
28/12/2019,"31,09"
27/12/2019,"32,72"
26/12/2019,"25,41"
25/12/2019,"14,24"
24/12/2019,"20,96"
23/12/2019,"23,40"
22/12/2019,"1,94"
21/12/2019,"2,53"
20/12/2019,"17,43"
19/12/2019,"22,71"
18/12/2019,"38,65"
17/12/2019,"42,89"
16/12/2019,"40,27"
15/12/2019,"26,06"
