OMIE - Mercado de electricidad,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Tecnologias que marcan el precio marginal del mercado diario,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Dia,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
14/03/21,RE,RE,RE,RE,HI,RE,RE,RE,RE,RE,RE,RE,RE,HI,RE,NaN,RE,RE,BG,HI,BG,HI,HI,HI
15/03/21,HI,HI,RE,HI,RE,HI,HI,HI,HI,BG,HI,HI,BG,HI,RE,HI,HI,HI,HI,HI,HI,BG,HI,RE
16/03/21,HI,RE,RE,HI,RE,HI,RE,HI,HI,HI,RE,HI,HI,HI,RE,RE,HI,HI,RE,RE,HI,HI,HI,RE
17/03/21,HI,HI,RE,RE,RE,RE,RE,HI,HI,HI,HI,RE,RE,RE,HI,RE,RE,RE,RE,HI,HI,HI,RE,RE
18/03/21,NaN,NaN,NaN,NaN,NaN,RE,RE,HI,HI,HI,RE,HI,HI,HI,HI,RE,RE,NaN,BG,HI,HI,HI,HI,HI
19/03/21,BG,HI,HI,HI,HI,HI,HI,HI,NaN,BG,BG,HI,HI,HI,TER,TER,HI,TER,HI,RE,HI,HI,HI,NaN
20/03/21,HI,RE,HI,RE,RE,RE,RE,RE,RE,RE,HI,RE,RE,RE,HI,RE,RE,RE,HI,HI,HI,HI,HI,HI
21/03/21,HI,RE,HI,HI,HI,HI,RE,RE,BG,RE,RE,RE,RE,RE,RE,RE,RE,RE,HI,HI,HI,BG,HI,BG
22/03/21,HI,HI,HI,HI,HI,HI,RE,RE,BG,HI,HI,HI,HI,HI,HI,NaN,HI,HI,HI,HI,HI,HI,HI,TCC
23/03/21,HI,HI,RE,HI,HI,HI,HI,HI,HI,BG,HI,HI,TCC,HI,HI,HI,HI,HI,BG,RE,HI,BG,BG,HI
24/03/21,HI,HI,HI,BG,HI,HI,HI,HI,TCC,HI,NaN,NaN,HI,BG,NaN,HI,HI,HI,HI,NaN,TCC,HI,HI,HI
25/03/21,HI,HI,HI,HI,HI,HI,RE,HI,HI,HI,HI,TCC,HI,HI,HI,HI,HI,HI,HI,BG,HI,BG,HI,HI
26/03/21,HI,HI,HI,HI,RE,RE,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,BG,HI,HI,HI,HI,HI,HI
27/03/21,RE,RE,HI,RE,RE,RE,RE,RE,HI,RE,RE,RE,HI,RE,RE,RE,RE,RE,BG,HI,HI,HI,HI,RE
28/03/21,HI,HI,HI,HI,HI,HI,RE,RE,HI,RE,RE,RE,RE,RE,RE,RE,HI,HI,HI,BG,HI,HI,HI,NaN
29/03/21,HI,HI,RE,HI,HI,HI,HI,NaN,HI,HI,NaN,HI,HI,HI,RE,RE,RE,RE,TCC,BG,BG,HI,HI,BG
